ID	Line	Day	Character	Character Art	Dialogue Type	Background	Next	Shortened Line 1	Next 2	Shortened Line 2	Music	Sound 1	Sound 2	Sound 3	Sound 4	Ambience	Notes
[D1I-21]	I know, I know, I’m pretty awesome. Come on.	Day 1	Iggy_Bumdeez	Iggy_Neutral	Dialogue	The_13th_Pizza	[D1O-67]									Electrical_Light_Ambience	
[D1O-67]	I follow him behind the register with a dumb grin on my face. It was like I’d never left.	Day 1	Omar	Omar_Happy	Physical	The_13th_Pizza	[D1O-68]									Electrical_Light_Ambience	
[D1O-68]	Alright, where’s our lovely manager?	Day 1	Omar	Omar_Neutral	Dialogue	The_13th_Pizza	[D1I-22]									Electrical_Light_Ambience	
[D1I-22]	Oh, Rudy called in sick today.	Day 1	Iggy_Bumdeez	Iggy_Neutral	Dialogue	The_13th_Pizza	[D1O-69]									Electrical_Light_Ambience	
[D1O-69]	The one day I actually want to see his face and he’s gone. Just my luck…	Day 1	Omar	Omar_Neutral	Dialogue	The_13th_Pizza	[D1G-1]									Electrical_Light_Ambience	
[D1G-1]	A kind-hearted old lady with a smile on her face and quarters jingling in her pocket walks up to the counter. I’m already smiling before I realize who it is.	Day 1	Ms_Gin	Gin_Smile	Physical	The_13th_Pizza	[D1O-70]					Door_Entry_Chime	Door_Open			Electrical_Light_Ambience	
[D1O-70]	Ms. Gin! How’s my favorite customer?	Day 1	Omar	Omar_Happy	Dialogue	The_13th_Pizza	[D1G-2]									Electrical_Light_Ambience	
[D1G-2]	Her laugh is like a warm pie during Christmas. 	Day 1	Ms_Gin	Gin_Smile	Physical	The_13th_Pizza	[D1G-3]									Electrical_Light_Ambience	
[D1G-3]	Omar! I thought you quit and ran for the hills. It’s been ages since I’ve seen you!	Day 1	Ms_Gin	Gin_Smile	Dialogue	The_13th_Pizza	[D1O-71]									Electrical_Light_Ambience	
[D1O-71]	I chuckle awkwardly. It doesn’t seem like a good idea to tell her I’ve just been dead for three weeks.	Day 1	Omar	Omar_Bashful	Physical	The_13th_Pizza	[D1O-72]									Electrical_Light_Ambience	
[D1O-72]	Just been feeling a bit under the weather. I bounce back pretty easy, ma’am!	Day 1	Omar	Omar_Bashful	Dialogue	The_13th_Pizza	[D1G-4]									Electrical_Light_Ambience	
[D1G-4]	I hope so dear. You look a few steps from death still! Maybe another few days off would have done you some extra good.	Day 1	Ms_Gin	Gin_Pondering	Dialogue	The_13th_Pizza	[D1O-73]									Electrical_Light_Ambience	
[D1O-73]	Thanks for the concern, ma’am. Trust me, I’ll be fine!	Day 1	Omar	Omar_Happy	Dialogue	The_13th_Pizza	[D1O-74]									Electrical_Light_Ambience	
[D1O-74]	I hope at least.	Day 1	Omar	Omar_Sad	Dialogue	The_13th_Pizza	[D1G-5]									Electrical_Light_Ambience	
[D1G-5]	Ms. Gin stares into my face the way only a mother could give when she’s looking to see if there is anything wrong with you.	Day 1	Ms_Gin	Gin_Pondering	Physical	The_13th_Pizza	[D1O-75]									Electrical_Light_Ambience	
[D1O-75]	Uh… You’re kind of freaking me out, Ms. Gin.	Day 1	Omar	Omar_Confused	Dialogue	The_13th_Pizza	[D1G-6]									Electrical_Light_Ambience	
[D1G-6]	Sorry, Omar. I just feel like something is different about you. Are you doing something different with your hair?	Day 1	Ms_Gin	Gin_Pondering	Dialogue	The_13th_Pizza	[D1I-23]									Electrical_Light_Ambience	
[D1I-23]	OOOOOOH!!!	Day 1	Iggy_Bumdeez	Iggy_Excited	Dialogue	The_13th_Pizza	[D1I-24]									Electrical_Light_Ambience	
[D1I-24]	She’s on your head, Mar-Mar.	Day 1	Iggy_Bumdeez	Iggy_Excited	Dialogue	The_13th_Pizza	[D1O-76]									Electrical_Light_Ambience	
[D1O-76]	Oh, hush. I’m still me and that’s all that matters. 	Day 1	Omar	Omar_Neutral	Dialogue	The_13th_Pizza	[D1O-77]									Electrical_Light_Ambience	
[D1O-77]	You came here for the usual, Ms. G?	Day 1	Omar	Omar_Happy	Dialogue	The_13th_Pizza	[D1O-78]									Electrical_Light_Ambience	
[D1O-78]	Just as I slide her over an empty small cup the eighty-five cents in her pocket are already on the counter.	Day 1	Omar	Omar_Happy	Physical	The_13th_Pizza	[D1G-7]									Electrical_Light_Ambience	
[D1G-7]	Thank you, dear. You know when you told me you were heading over to The Woodsboro Apartments I thought you’d never come back.	Day 1	Ms_Gin	Gin_Smile	Dialogue	The_13th_Pizza	[D1O-79]									Electrical_Light_Ambience	
[D1O-79]	My eyes shoot up from the cash register as I shove it closed.	Day 1	Omar	Omar_Shocked	Physical	The_13th_Pizza	[D1O-80]									Electrical_Light_Ambience	
[D1O-80]	The Woodsboro Apartments? The place where security never sleeps?	Day 1	Omar	Omar_Shocked	Dialogue	The_13th_Pizza	[D1G-8]									Electrical_Light_Ambience	
[D1G-8]	Something like that. It's quite a stuffy-looking place to me. You were handling deliveries there if my memory serves me right.	Day 1	Ms_Gin	Gin_Pondering	Dialogue	The_13th_Pizza	[D1I-25]									Electrical_Light_Ambience	
[D1I-25]	Oh! Hey, since you’re not dead in a ditch somewhere that reminds me. You’re on schedule tonight, dude.	Day 1	Iggy_Bumdeez	Iggy_Neutral	Dialogue	The_13th_Pizza	[D1O-81]									Electrical_Light_Ambience	
[D1O-81]	Of course, I am…	Day 1	Omar	Omar_Sad	Dialogue	The_13th_Pizza	[D1O-82]									Electrical_Light_Ambience	
[D1O-82]	It was hard to report to work as usual as if I’m not a zombie. There was something very normal about the mundanity of the shift. I get a pizza, I deliver, I pray I get a tip, and repeat.	Day 1	Omar	N/A	Internal	Black_screen	[D1O-83]									Nighttime_Ambience	
[D1O-83]	The next few hours had me looking at the rest of my day as a stopwatch, and I was counting down the minutes until I could take my break and head over to Woodsboro Apartments.	Day 1	Omar	N/A	Internal	Black_screen	[D1O-84]									Nighttime_Ambience	
[D1O-84]	I had told Iggy that I’d be taking a break at my usual spot before I left, and, as usual, he handed me a 10-inch slasher special pizza. They’re sweet. It’s usually a pizza I’d get to eat on break if I was in the mood for one.	Day 1	Omar	ClosedPizza_Item	Internal	Inside_Car	[D1O-85]									Nighttime_Ambience	
[D1O-85]	I open the pizza box to get a good whiff of the saucy goodness I’m usually happy to breathe in.	Day 1	Omar	OpenPizza_Item	Internal	Inside_Car	[D1O-86]									Nighttime_Ambience	
[D1O-86]	Nothing.	Day 1	Omar	OpenPizza_Item	Internal	Inside_Car	[D1O-87]									Nighttime_Ambience	
[D1O-87]	Even the smell of greasy cheap pizza didn’t stir me. If I had an appetite for anything it's not for pizza anymore. 	Day 1	Omar	OpenPizza_Item	Internal	Inside_Car	[D1O-88]									Nighttime_Ambience	
[D1O-88]	The next few hours had me looking at the rest of my day as a stopwatch, and I was counting down the minutes until I could take my break and head over to Woodsboro Apartments. My complimentary pizza still rested on the back seat of my car as I pulled up to the gate.	Day 1	Omar	OpenPizza_Item	Physical	Inside_Car	[D1O-89]									Nighttime_Ambience	
[D1O-89]	I reach into the backseat and grab the mystery blanket I woke up with. Somehow it still feels rather cozy.	Day 1	Omar	UnfoldedBlanket_Item	Physical	Inside_Car	[D1O-90]									Nighttime_Ambience	
[D1O-90]	Alright, back here again…	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1SG-46]									Nighttime_Ambience	
[D1SG-46]	Well, I could’ve told you that much dear.	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Inside_Car	[D1O-91]					Sparkle				Nighttime_Ambience	
[D1O-91]	Ah!	Day 1	Omar	Omar_Shocked	Dialogue	Inside_Car	[D1O-92]									Nighttime_Ambience	
[D1O-92]	I jump out of my skin and let out a harsh breath through my nose to calm myself down.	Day 1	Omar	Omar_Shocked	Physical	Inside_Car	[D1O-93]									Nighttime_Ambience	
[D1O-93]	Please stop doing that-- sparkle thing!	Day 1	Omar	Omar_Shocked	Dialogue	Inside_Car	[D1SG-47]									Nighttime_Ambience	
[D1SG-47]	I’m sorry, next time I’ll make sure I poof in a glorious display of hellfire and the screams of the damned.	Day 1	Spooky_Grimmother	SG_Annoyed	Dialogue	Inside_Car	[D1O-94]									Nighttime_Ambience	
[D1O-94]	I narrow my eyes at her as sarcasm drips from her voice. My attention moves toward the apartment registry.	Day 1	Omar	Omar_Neutral	Physical	Inside_Car	[D1O-95]									Nighttime_Ambience	
[D1O-95]	Alright, Ms. Gin said this was the last place I was heading to make a delivery. I’m betting the killer lives in this apartment complex. Since I only have this blanket, I might as well make it worth it.	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1O-96]									Nighttime_Ambience	
[D1O-96]	Maybe the initials on the blanket are the same as someone on the registry. If I find the right person then I can just say I’m returning the blanket and they’ll let me in. Best case scenario they can tell me about how I died.	Day 1	Omar	FoldedBlanket_Item	Dialogue	Inside_Car	[D1SG-48]									Nighttime_Ambience	
[D1SG-48]	I don’t know, I’d tell you to leave it downstairs if someone tried to do that for me.	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Inside_Car	[D1O-97]									Nighttime_Ambience	
[D1O-97]	I’m ignoring you now.	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1O-98]									Nighttime_Ambience	
[D1O-98]	I huff as I press the down arrow until I make it towards the L names.	Day 1	Omar	Omar_Neutral	Physical	Inside_Car	[D1O-99]									Nighttime_Ambience	
[D1O-99]	Only two L.C.’s? L. Coner and L. Cloverfield. I’ll have to make a guess here.	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1C4-1]	L. Coner	[D1C4-2]	L. Cloverfield						Nighttime_Ambience	
[D1C4-1]	A feminine sing-songy voice comes through the intercom’s static.	Day 1	???	N/A	Physical	Inside_Car	[D1LC-1]									Nighttime_Ambience	
[D1LC-1]	Hello~	Day 1	Leah_Coner	N/A	Dialogue	Inside_Car	[D1O-100]					Intercom_Buzz				Nighttime_Ambience	
[D1O-100]	Uh, hi! I’m Omar. I’m with The 13th Pizza. I think I have your blanket. It’s blue and it has your initials on it.	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1LC-2]									Nighttime_Ambience	
[D1LC-2]	Oh, my blanket! Explains why you were sleeping next to the pizza delivery car.	Day 1	Leah_Coner	N/A	Dialogue	Inside_Car	[D1O-101]									Nighttime_Ambience	
[D1O-101]	Her voice, and the laugh that followed it, tickle my heart and guide a laugh of my own from underneath my focus.	Day 1	Omar	Omar_Bashful	Physical	Inside_Car	[D1O-102]									Nighttime_Ambience	
[D1O-102]	I uh… Yeah, I really appreciated it. I appreciate it so much that I wanted to come by and give it back to you. Ha ha…	Day 1	Omar	Omar_Bashful	Dialogue	Inside_Car	[D1LC-3]									Nighttime_Ambience	
[D1LC-3]	Oh, that’s super nice of you! As long as you’re not some murder hobo with a knife I guess I can accept that as you actually wanting to buzz you in.	Day 1	Leah_Coner	Omar_Happy	Dialogue	Inside_Car	[D1LC-4]									Nighttime_Ambience	
[D1LC-4]	Come on through. I’m on the second floor of apartment 418.	Day 1	Leah_Coner	Omar_Happy	Dialogue	Inside_Car	[D1O-109]									Nighttime_Ambience	
[D1C4-2]	Like gravel sliding down a chalkboard, a voice pushes past the static. 	Day 1	???	N/A	Physical	Inside_Car	[D1GM-1]					Intercom_Buzz				Nighttime_Ambience	
[D1GM-1]	What do you want?	Day 1	Grumpy_Old_Man	N/A	Dialogue	Inside_Car	[D1O-103]									Nighttime_Ambience	
[D1O-103]	Um… I want to return a blanket?	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1GM-2]									Nighttime_Ambience	
[D1GM-2]	I ain’t got no blanket.	Day 1	Grumpy_Old_Man	N/A	Dialogue	Inside_Car	[D1O-104]									Nighttime_Ambience	
[D1O-104]	Well, sir, I have a blanket here that has the initials L.C. on it and I’m just trying to return it.	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1GM-3]									Nighttime_Ambience	
[D1GM-3]	I’m not interested in whatever you’re selling! You already got my social security number!	Day 1	Grumpy_Old_Man	N/A	Dialogue	Inside_Car	[D1O-105]									Nighttime_Ambience	
[D1O-105]	Sir, I’m just trying to return--	Day 1	Omar	Omar_Neutral	Dialogue	Inside_Car	[D1O-106]									Nighttime_Ambience	
[D1O-106]	No answer. I shift uncomfortably.	Day 1	Omar	Omar_Neutral	Physical	Inside_Car	[D1O-107]									Nighttime_Ambience	
[D1O-107]	…Hello?	Day 1	Omar	Omar_Confused	Dialogue	Inside_Car	[D1O-108]									Nighttime_Ambience	
[D1O-108]	Hope he gets that social security problem fixed. I pray the other person happened to have left a blanket out in a parking lot somewhere.	Day 1	Omar	Omar_Neutral	Internal	Inside_Car	[D1C4-1]									Nighttime_Ambience	
[D1O-109]	After the intercom buzzes, the gears in the gate whirl, and eventually open enough for me to pass through, I end up finding her apartment once I scale the stairs to the second floor. With my pizza in one hand and the blanket in the other, I give the door a few soft knocks.	Day 1	Omar	Omar_Bashful	Physical	Apartment_Hallway	[D1O-110]									Nighttime_Ambience	
[D1O-110]	Ms. Coner? It’s Omar with The 13th Pizza.	Day 1	Omar	Omar_Bashful	Dialogue	Apartment_Hallway	[D1LC-5]									Nighttime_Ambience	
[D1LC-5]	Coming!	Day 1	Leah_Coner	N/A	Dialogue	Apartment_Hallway	[D1O-111]									Nighttime_Ambience	
[D1O-111]	The apartment door swings wide open and I finally put a face to the most memorable voice I’d ever heard. 	Day 1	Omar	Omar_Bashful	Physical	Apartment_Hallway	[D1LC-6]									Nighttime_Ambience	
[D1LC-6]	Nice to finally see you again, Omar.	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1LC-7]									Nighttime_Ambience	
[D1LC-7]	Also, you can just call me Leah.	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-112]									Nighttime_Ambience	
[D1O-112]	Pleasure to finally meet you. Er, sorry if I’m interrupting your evening.	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1LC-8]									Nighttime_Ambience	
[D1LC-8]	Oh, it's no problem. This is the most excitement I’ve had in weeks. I’ve been having a zombie movie marathon for myself before Halloween.	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-113]									Nighttime_Ambience	
[D1O-113]	Talk about irony…	Day 1	Omar	Omar_Neutral	Internal	Apartment_Hallway	[D1O-114]									Nighttime_Ambience	
[D1O-114]	Oh, that’s really neat. What’s your favorite zombie movie?	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1LC-9]									Nighttime_Ambience	
[D1LC-9]	Definitely Plane to Daegu.	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-115]									Nighttime_Ambience	
[D1O-115]	Oh, good taste.	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1O-116]									Nighttime_Ambience	
[D1O-116]	We stand there for a moment, smiling in the silence of a first impression, before I break it like an idiot by shoving her blanket towards her.	Day 1	Omar	Omar_Happy	Physical	Apartment_Hallway	[D1LC-10]									Nighttime_Ambience	
[D1LC-10]	Oh, I almost forgot about that. Hehe!	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-117]									Nighttime_Ambience	
[D1O-117]	I wouldn’t let myself go unless you got it back. It’s a really cool blanket by the way. It was really nice waking up to it.	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1LC-11]									Nighttime_Ambience	
[D1LC-11]	I had knitted it myself! Anything I make always has my initials on it somewhere in case I lose it. 	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-118]									Nighttime_Ambience	
[D1O-118]	I get comfortable by leaning against the doorframe as Leah reaches behind her door to show me more things she’s made by hand. Gloves, sweaters, and even some skull caps come and go from view before she shrugs.	Day 1	Omar	Omar_Happy	Physical	Apartment_Hallway	[D1LC-12]									Nighttime_Ambience	
[D1LC-12]	With the little time I do have on my hands, I like to make the most of it.	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-119									Nighttime_Ambience	
[D1O-119	So why’d you waste your time putting a blanket over a stranger like me?	Day 1	Omar	Omar_Confused	Dialogue	Apartment_Hallway	[D1LC-13]									Nighttime_Ambience	
[D1LC-13]	I wouldn’t call it a waste at all. I saw somebody who looked cold so I gave them a way to warm up. Who better to give a blanket to than a sleeping homeless guy?	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-120]									Nighttime_Ambience	
[D1O-120]	Not me looking homeless…	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1LC-14]									Nighttime_Ambience	
[D1LC-14]	Oh! I’m sorry I didn’t mean-- it’s just I don’t know many people who just decide to fall asleep next to their car. What were you doing asleep anyway?	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-121]									Nighttime_Ambience	
[D1O-121]	I’m actually trying to figure that out. The past three weeks have been kind of a blur. I’ve been trying to retrace my steps all day.	Day 1	Omar	Omar_Neutral	Dialogue	Apartment_Hallway	[D1O-122]									Nighttime_Ambience	
[D1O-122]	You wouldn’t happen to remember somebody from The 13th Pizza delivering here around that time would you?	Day 1	Omar	Omar_Neutral	Dialogue	Apartment_Hallway	[D1LC-15]									Nighttime_Ambience	
[D1LC-15]	Well, I know the people above me always order pizza from you guys.	Day 1	Leah_Coner	Leah_Confused	Dialogue	Apartment_Hallway	[D1LC-16]									Nighttime_Ambience	
[D1LC-16]	Come to think of it, there was a pretty bad argument between a delivery guy and one of the tenants up there. I didn’t see who since it wasn’t any of my business, you know?	Day 1	Leah_Coner	Leah_Confused	Dialogue	Apartment_Hallway	[D1O-123]									Nighttime_Ambience	
[D1O-123]	I nodded along as my eyes looked down, lingering on the pizza in my hand. 	Day 1	Omar	Omar_Neutral	Physical	Apartment_Hallway	[D1O-124]									Nighttime_Ambience	
[D1O-124]	Totally understand. If I was in your shoes around that time, I would’ve done the same thing. Hey, I was wondering, did you maybe want this-	Day 1	Omar	Omar_Bashful	Dialogue	Apartment_Hallway	[D1O-125]									Nighttime_Ambience	
[D1O-125]	From my pocket, the stopwatch on my phone plays the opening notes of Danse Macabre. 	Day 1	Omar	Omar_Shocked	Physical	Apartment_Hallway	[D1O-126]									Nighttime_Ambience	
[D1O-126]	Oh crap, my break is almost over!	Day 1	Omar	Omar_Shocked	Dialogue	Apartment_Hallway	[D1O-127]									Nighttime_Ambience	
[D1O-127]	An idea pops into my head. I feel as if I have to thank her for her help in some way.	Day 1	Omar	Omar_Shocked	Internal	Apartment_Hallway	[D1C5-1]	Do you like pizza?	[D1C5-2]	I gotta go!						Nighttime_Ambience	
[D1C5-1]	Uh, who doesn’t?	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-128]									Nighttime_Ambience	
[D1O-128]	I pull out the pizza from the bag it was nestled in.	Day 1	Omar	Omar_Happy	Physical	Apartment_Hallway	[D1O-129]									Nighttime_Ambience	
[D1O-129]	Here, it's a 10-inch slasher special pizza.	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1LC-17]									Nighttime_Ambience	
[D1LC-17]	Oh, but I didn’t order--!	Day 1	Leah_Coner	Leah_Confused	Dialogue	Apartment_Hallway	[D1O-130]									Nighttime_Ambience	
[D1O-130]	Without a second thought, I shove the pizza box into Leah’s hands and dashed to the stairs.	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1O-131]									Nighttime_Ambience	
[D1O-131]	Thanks for your help, Leah! I’ll talk to you later! Enjoy the pizza! The cheese is also under the sauce!	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1LC-18]									Nighttime_Ambience	
[D1LC-18]	Oh, okay! Let’s hang out sometimes! I’m free next Friday!	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-132]									Nighttime_Ambience	
[D1O-132]	I’d like that a lot!	Day 1	Omar	Omar_Happy	Dialogue	Apartment_Hallway	[D1O-134]									Nighttime_Ambience	
[D1C5-2]	Sorry, Leah! I gotta go! It was nice meeting you!	Day 1	Omar	Omar_Shocked	Dialogue	Apartment_Hallway	[D1LC-19]									Nighttime_Ambience	
[D1LC-19]	Nice meeting you too! Glad I could help!	Day 1	Leah_Coner	Leah_Smile	Dialogue	Apartment_Hallway	[D1O-133]									Nighttime_Ambience	
[D1O-133]	I bolt for the stairs and instinctively toss the pizza I had in hand. Any other time I probably would have thought of that as a waste, but now isn’t the time for thinking.	Day 1	Omar	Omar_Shocked	Physical	Apartment_Hallway	[D1O-134]									Nighttime_Ambience	
[D1O-134]	My hands had already grabbed onto the railing before my feet could touch the stairs. Bad reviews were something I could deal with, but I wouldn’t live to even SEE Halloween night if Iggy had to deal with me being late again.	Day 1	Omar	Omar_Neutral	Internal	Apartment_Hallway	[D1O-135]									Nighttime_Ambience	
[D1O-135]	I was in the car and driving out of Woodsboro before I knew it. One day down, two more to go, and I’m right on track to finding my killer! I’d give myself a high-five if they weren’t on the steering wheel.	Day 1	Omar	Omar_Neutral	Internal	Inside_Car	[D1O-136]					Start_Car	Drive_Off			Nighttime_Ambience	
[D1O-136]	I ended up sleeping in my car last night and just drove back to work as soon as I woke up. Figured it was better to not explain my new living situation to my parents and tell them about Spooky Grimmother.	Day 1	Omar	N/A	Internal	Black_screen	[D1O-137]									Nighttime_Ambience	
[D1O-137]	Iggy seemed more at ease since I was back to take some of the workload off of him. I didn’t have the heart to tell him that after tomorrow he probably wouldn’t see me again.	Day 1	Omar	N/A	Internal	Black_screen	[D1O-138]									Nighttime_Ambience	
[D1O-138]	The fear that came with the thought only motivated me to find the killer more. No use curling up into a ball like a baby.	Day 1	Omar	N/A	Internal	Black_screen	[D2O-1]									Nighttime_Ambience	
[D2O-1]	So, here I am. Inside my car, parked inside The Woodsboro Apartments, and having Spooky Grimmother smoke over my shoulder. My new and perfectly normal life for the next couple of hours.	Day 2	Omar	N/A	Internal	Inside_Car										Nighttime_Ambience										
